refrence,COMPANY NAME,CO.City,SOURCE COMPANY,SourceCo.City,TYPE OF TRANSACTION,MONTH,TYPE OFProducts,date,amount,currency,exporter/repExporter,country
G-BBY-0042,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,GOODS IN TRUST,JANURARY  2019,1,6/1/2019,95000,EURO,RMT VALVOMECCANICA SRL ,ITALY
G-BBY-0099,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,GOODS IN TRUST,JANURARY  2019,1,21/01/2019,8949,EURO,SHANGHAI INTCO IMPORT & EXPORT CO.- LTD,CHINA
G-BBY-0028,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,GOODS IN TRUST,JANURARY  2019,1,5/1/2019,7568,EURO,SHANGHAI ORTHO KING MEDICAL DEVICE CO. LTD,CHINA
G-BBY-0122,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,GOODS IN TRUST,JANURARY  2019,1,26/01/2019,32414,EURO,SHENZHEN SUNSHINE OPTO - ELECTRONICS TECHNOLOGY LTD,CHINA
G-BBY-0064,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,GOODS IN TRUST,JANURARY  2019,1,12/1/2019,375108,EURO,SIC INVENT AG   ,SWITZERLAND
G-BBY-0077,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,GOODS IN TRUST,JANURARY  2019,1,14/01/2019,376403,EURO,SIC INVENT AG   ,SWITZERLAND
G-BBY-0006,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,GOODS IN TRUST,JANURARY  2019,1,6/1/2019,2694875,AED,SIG COMBIBLOC OEBEIKAN FZCO,"DUBAI, UAE"
G-BBY-0010,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,GOODS IN TRUST,JANURARY  2019,1,16/01/2019,2500000,AED,SILVER POOL GENERAL TRADING,"DUBAI, UAE"
G-BBY-0098,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,GOODS IN TRUST,JANURARY  2019,1,21/01/2019,17173,EURO,SINOBRIGHT PHARMA CO.- LIMITED         ,CHINA
G-BBY-0131,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,GOODS IN TRUST,JANURARY  2019,1,27/01/2019,63100,EURO,STORZ MEDICAL AG,SWITZERLAND
G-BBY-0043,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,GOODS IN TRUST,JANURARY  2019,1,6/1/2019,121500,EURO,SUN SWEET CO.- LTD   ,THAILAND
G-BBY-0012,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,GOODS IN TRUST,JANURARY  2019,1,19/01/2019,2543259,AED,SURAWUT THIANGLE TRADING LLC                      ,"DUBAI, UAE"
G-BBY-0024,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,GOODS IN TRUST,JANURARY  2019,1,22/01/2019,1601706,AED,SURAWUT THIANGLE TRADING LLC                      ,"DUBAI, UAE"
G-BBY-0025,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,GOODS IN TRUST,JANURARY  2019,1,22/01/2019,1398294,AED,SURAWUT THIANGLE TRADING LLC                      ,"DUBAI, UAE"
G-BBY-0072,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,GOODS IN TRUST,JANURARY  2019,1,12/1/2019,34320,EURO,TAECHIN SMET CORPORATION,KOREA
G-BBY-0135,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,GOODS IN TRUST,JANURARY  2019,1,29/01/2019,50000,EURO,TAIWAN BE CHARM TRADING CO LIMITED,"HONGKONG, CHINA"
G-BBY-0120,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,GOODS IN TRUST,JANURARY  2019,1,26/01/2019,30432,EURO,TAIZHOU DARTS MACHINERY TRADE CO.- LTD,CHINA
G-BBY-0023,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,GOODS IN TRUST,JANURARY  2019,1,21/01/2019,501284,AED,TAJ AL MULOOK GENERAL TRADING LLC ,"DUBAI, UAE"
G-BBY-0105,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,GOODS IN TRUST,JANURARY  2019,1,24/01/2019,225556,EURO,TCL HOME APPLIANCES (HEFEI) ,CHINA
G-BBY-0106,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,GOODS IN TRUST,JANURARY  2019,1,24/01/2019,226653,EURO,TCL HOME APPLIANCES (HEFEI) ,CHINA
G-BBY-0128,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,GOODS IN TRUST,JANURARY  2019,1,27/01/2019,247458,EURO,TCL HOME APPLIANCES (HEFEI) ,CHINA
G-BBY-0035,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,GOODS IN TRUST,JANURARY  2019,1,5/1/2019,73900,EURO,TEXACHEM INTERNATIONAL SRL           ,ITALY
G-BBY-0016,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,GOODS IN TRUST,JANURARY  2019,1,20/01/2019,700000,AED,THE WATCH FZ LLC   ,"DUBAI, UAE"
G-BBY-0067,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,GOODS IN TRUST,JANURARY  2019,1,12/1/2019,11850,EURO,TIANJIN LZYUN ENVIRONMENTAL TECHNOLOGY ,CHINA
G-BBY-0001,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,GOODS IN TRUST,JANURARY  2019,1,3/1/2019,1924745,AED,TOP PACIFIC TRADING LLC ,"DUBAI, UAE"
G-BBY-0002,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,GOODS IN TRUST,JANURARY  2019,1,3/1/2019,2075255,AED,TOP PACIFIC TRADING LLC ,"DUBAI, UAE"
G-BBY-0003,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,GOODS IN TRUST,JANURARY  2019,1,5/1/2019,3000000,AED,TRANSCOR B.V  ,NETHERLANDS
G-BBY-0090,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,GOODS IN TRUST,JANURARY  2019,1,19/01/2019,170200,EURO,TRENT DENT PRODUCTS LTD ,UNITED KINGDOM
G-BBY-0026,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,GOODS IN TRUST,JANURARY  2019,1,22/01/2019,2245741,AED,TURAN TRADING FZE                                 ,"DUBAI, UAE"
G-BBY-0082,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,GOODS IN TRUST,JANURARY  2019,1,15/01/2019,11225,EURO,UTIEN PACK CO LIMITED,CHINA
G-BBY-0132,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,GOODS IN TRUST,JANURARY  2019,1,29/01/2019,212700,EURO,WELCRON KANGWON CO LTD  ,SOUTH KOREA
G-BBY-0062,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,GOODS IN TRUST,JANURARY  2019,1,10/1/2019,30362,EURO,WYLEGARNIA RYB DABIE,POLAND
G-BBY-0125,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,GOODS IN TRUST,JANURARY  2019,1,26/01/2019,63566,EURO,YANGTIAN GENERAL TRADING CO LIMITED,"HONGKONG, CHINA"
G-BBY-0046,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,GOODS IN TRUST,JANURARY  2019,1,6/1/2019,59682,EURO,ZHANGJIAGANG HUAMING MACHINERY CO LTD  ,CHINA
G-BBY-0048,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,GOODS IN TRUST,JANURARY  2019,1,7/1/2019,59680,EURO,ZHANGJIAGANG HUAMING MACHINERY CO LTD  ,CHINA
G-BBY-0052,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,GOODS IN TRUST,JANURARY  2019,1,8/1/2019,26082,EURO,ZHEJIANG THREE CHILDREN FOOD CO LTD,CHINA
G-BBY-0078,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,GOODS IN TRUST,JANURARY  2019,1,14/01/2019,65205,EURO,ZHEJIANG THREE CHILDREN FOOD CO LTD,CHINA
G-BBY-0073,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,GOODS IN TRUST,JANURARY  2019,1,12/1/2019,30029,EURO,ZHONGSHAN YUANAN IMPORT AND EXPORT CO.-,CHINA
