product,unit,Doller,Derham,Euro,code
Intergrated Surgical Clothes with Mask,PCS,20,73.4,17.2,12
Disposable Nonwoven Surgical Operating Room Clothing,PCS,8.5,31.195,7.31,12
Medical Pasg Pneumatic Anti-Shock Garment,PCS,600,2202,516,12
Medical Uniforms Nurse Scrub Clothes,SETS,12.1,44.407,10.406,12
Hospital Medical Uniforms,PCS,16.39,60.1513,14.0954,12
Medical/Hospital Clothes (HS-N001),PCS,4.7,17.249,4.042,12
OEM Antistatic Textile Clean Garment,PCS,6.7,24.589,5.762,12
Spunbonded Nonwoven Disposable Medical Surgical Gown,PCS,1.5,5.505,1.29,12
Dust Prevention Garments for Production Line,SETS,7.8,28.626,6.708,12
X Ray Lead Radiation-Proof Clothes,SETS,550,2018.5,473,12
X Ray Protective Clothing,PCS,120,440.4,103.2,12
X Ray Protective Clothing Protective Clothing,PCS,47,172.49,40.42,12
X Ray Radiation Protective Clothes,SETS,550,2018.5,473,12
X ray Apparel from X ray/Gamma Ray (0.5mmpb),PCS,130,477.1,111.8,12
Yuhong Medical X-ray Protective Clothing,PCS,130,477.1,111.8,12
Medical Psa Nitrogen /Oxygen Generator,PCS,100000,367000,86000,13
"80-2b Electric Centrifuge, Tabletop Medical Centrifuge",PCS,72,264.24,61.92,13
86c Ultra Low Temperature Freezer/ Medical Freezer,SETS,5000,18350,4300,13
Ce FDA Approced Medical Compression Stockings,PAIR,5,18.35,4.3,13
Ce ISO Hospital Medical Dual Head Stethoscope (MA193),PCS,1.08,3.9636,0.9288,13
Electric Multi-Function Medical  /Hospital/Nursing Bed,PCS,2450,8991.5,2107,13
Cryolipolysis/Coolsculpting/Zeltiq Slimming Machine,SETS,4999,18346.33,4299.14,13
CNC Milling Metal Turning Machining Parts,PCS,31,113.77,26.66,13
Disposable Medical Silicone Endotracheal Tube - Ce ISO,PCS,7.5,27.525,6.45,13
Supercritical CO2 Extraction Machine for Cbd,SETS,355000,1302850,305300,13
Medical Endotracheal Cannula Tubing Plastic Extrusion,SETS,25000,91750,21500,13
Dual-Energy X-ray Bone Densitometer Instrument,SETS,60000,220200,51600,13
Oilless Rotary Screw Type Air Compressor,PCS,30000,110100,25800,13
LEMO compatible metal Circular Connector,PCS,8.6,31.562,7.396,13
Medical Grade Disposable Latex Examination Gloves,BOXES,25,91.75,21.5,13
Portable Ultrasound Scanner in Hospital,PCS,5000,18350,4300,13
Exercise Bike for Arm Leg Rehabilitation,PCS,2200,8074,1892,13
Gait Training System for Rehabilitation,PCS,1000,3670,860,13
Lightweight Sport Wheelchair for Basketball,PCS,411.6,1510.572,353.976,13
Neonate Baby Care Infant Incubator,PCS,3000,11010,2580,13
Disposable IV Transfusion Infusion Set with Luer Lock,PCS,0.1,0.367,0.086,13
Disposable Medical Gauze Swab,BAG,0.8,2.936,0.688,13
Surgical Power Tools Oscillating Sagittal Saw,PCS,1400,5138,1204,13
Pets Cremation Incinerator (WFS),SETS,5000,18350,4300,13
Multi purpose Hospital Surgical Medical Table,PCS,3700,13579,3182,13
Optical Glass Loupe Dental Binocular Magnifier,PCS,120,440.4,103.2,13
Medical Rubber Seal Rubber Products,PCS,10,36.7,8.6,13
Industrial Equipment PSA Oxygen Generator,PCS,50000,183500,43000,13
Sc Ptca Balloon Dilatation Catheter Medical Device,PCS,70,256.9,60.2,13
Sheet Metal Fabrication Stamping Parts,PCS,300,1101,258,13
Ice Painfree Permanent Diode Laser Hair RemovalClinic Medical Ce TUV,PCS,5000,18350,4300,13
Double Dome LED Ceiling Light Shadowless (700500 LED),SETS,2700,9909,2322,13
High Speed Refrigerated Centrifuge 16000rpm,PCS,800,2936,688,13
Lipo Laser Slimming Machine (TUVmedical CE),PCS,3500,12845,3010,13
UL FM Carbon Galvanzied Steel Pipe,TONS,500,1835,430,14
Seamless Carbon Steel Pipe,TONS,800,2936,688,14
Q235 Hot Dipped Galvanized Steel Pipe,TONS,650,2385.5,559,14
En 10219 ASTM A500 Welded ERW Steel Pipe,TONS,800,2936,688,14
Corrosion Resistant Stainless Steel Sheet Pipe Bar,TONS,3000,11010,2580,14
Seamless and Welded Carbon Steel Pipe,PCS,500,1835,430,14
Precise Cold Drawn Seamless Steel Pipe DIN2391,TONS,798,2928.66,686.28,14
Precision Carbon Steel Pipe for Automobile and motorcycle,TONS,900,3303,774,14
Big Size Longitudinal Welded Steel Pipe,TONS,600,2202,516,14
Steel Wire Spiral Hydraulic Pipe (SAE100 R9),MS,13.49,49.5083,11.6014,14
ERW Galvanized Steel Pipe Factory,TONS,580,2128.6,498.8,14
Precised Cold Drawn Seamless Steel Pipe,TONS,798,2928.66,686.28,14
201 304 ERW Stainless Steel Seamless Pipe,TONS,2500,9175,2150,14
API 5L X52ns Psl1/Psl2 Seamless Steel Pipe,TONS,650,2385.5,559,14
304 316 316L 321 Seamless Stainless Steel Pipe for Decoration,TONS,2000,7340,1720,14
Dipped Galvanized Steel Pipe,TONS,730,2679.1,627.8,14
ASTM API 5L Black Carbon Steel Pipe,TONS,500,1835,430,14
Custom Plastic Tool Box,PCS,2.8,10.276,2.408,15
Twinwall Plastic Box Corrugated PP Board Box with Lid,PCS,2,7.34,1.72,15
Food Grade Plastic Containing Box PP,PCS,8,29.36,6.88,15
Velvet Factory Clamshell Jewelry ,PCS,7,25.69,6.02,15
Red Square Clamshell Packaging SETS Box,PCS,8,29.36,6.88,15
Portable Plastic TROLLey Food Cooler Box,PCS,6,22.02,5.16,15
Kids Plastic Lunch Boxes - Double Layer Bento,PCS,3,11.01,2.58,15
Corrugated Plastic Turnover Box,PCS,5,18.35,4.3,15
Cee IP67 Plastic Waterproof Plug and Socket Box,PCS,1800,6606,1548,15
Paper/Plastic/Leather Three Layers Jewelry SETS ,PCS,11,40.37,9.46,15
Cee IP67 Plastic Waterproof Plug and Socket Box,PCS,300,1101,258,15
12V Plastic Portable Battery Box,PCS,40,146.8,34.4,15
Plastic Mesh Bulk Pallet Packaging Box,PCS,140,513.8,120.4,15
4 Port ABS Mini Fiber Optic Termination Box,PCS,30,110.1,25.8,15
Plastic Logistic Collapsible Bin,PCS,95,348.65,81.7,15
Collapsible Plastic Pallet Box 1200*1000*1000mm,PCS,133,488.11,114.38,15
Solar Combiner Boxes 2 in 2 out,PCS,100,367,86,15
Ice High Quality Plastic Combination Socket Box,PCS,30,110.1,25.8,15
Plastic Ice Box Rotomolded Portable Insulated Cooler Boxes,PCS,200,734,172,15
Industry Reusable Stackable Big Plastic Pallet Box with Lid,PCS,100,367,86,15
IP67 Waterproof ABS Plastic Electrical Junction Box,PCS,200,734,172,15
Plastic Machinery for Mold Temperature Controller,PCS,1889,6932.63,1624.54,16
Plastic EPE Foam Extruder Machinery ,PCS,42000,154140,36120,16
PS Film Laminated Process Machine,SETS,15000,55050,12900,16
Automatic Plastic Pet Bottle ,PCS,25000,91750,21500,16
2000bph Pet Drinking Beverage Water Bottle ,PCS,15000,55050,12900,16
Biodegradable Polythene Plastic ,SETS,30000,110100,25800,16
Pure Water Beverage Bottle Blow Molding Pet Plastic Machinery Price,PCS,55000,201850,47300,16
Automatic BOPS Plastic Thermoforming Machine,SETS,40000,146800,34400,16
Plastic PVC Electric Plug Data Cable Injection Molding Machine,SETS,17187,63076.29,14780.82,16
25L Plastic HDPE Jerry Can Blow Molding Machine (ABLD80),SETS,30000,110100,25800,16
DC AC Power Plug Vertical Plastic Injection Molding,SETS,8281,30391.27,7121.66,16
Pet Bottle Blowing Making Machine,PCS,10000,36700,8600,16
Two Head Ruidi 1325 Laser Cutting Engraving Machine,PCS,7000,25690,6020,16
HDPE LDPE PE Blown Film Extruder Agriculture Polyethylene ,SETS,20000,73400,17200,16
Plastic Bottles Injection Blow Molding Machine,SETS,25000,91750,21500,16
Full Automatic Rotary Table Plastic Injection Molding Machines,SETS,16935,62151.45,14564.1,16
Plastic Bottle Blowing Extrusion Blow Molding Machine,PCS,19200,70464,16512,16
Automatic Pet Bottle Cap and Preform Embryo Plastic ,PCS,18000,66060,15480,16
Acrylic Diamond Polishing & Plastic Edge Trimming Machine,PCS,10000,36700,8600,16
Bowl Thermoforming Machine for PP PS Pet Material,PCS,24400,89548,20984,16
Full Automatic 2 Cavities Bottle Blowing Machine for Plastic Can,PCS,20000,73400,17200,16
Manufacturer High Speed Plastic Film Blowing Machine,SETS,18300,67161,15738,16
High Speed PE PP PVC Plastic Rattan Extruder Machine,SETS,15000,55050,12900,16
Plastic Small HDPE Bottle Toy -Making Automatic Blower Blowing,PCS,20000,73400,17200,16
Aluminum Metal Central Machinery Parts for Home Appliance,PCS,100,367,86,17
Customized Plastic Injection Molding Home Appliances Parts,SETS,10000,36700,8600,17
Customized Plastic Injection Molding Home Appliances Parts,SETS,10000,36700,8600,17
Home Appliances Stainless Steel Sheet Metal Stamping Parts,PCS,20,73.4,17.2,17
Akx Home Appliance Round Shape BMC Mould Part for Cable Holder,SETS,5500,20185,4730,17
"Electrical Home Appliances, Coolant Air Conditioning Accessories Plastic Parts",PCS,10000,36700,8600,17
"Mechanical Parts, Used for Home Appliance Equipment",PCS,10,36.7,8.6,17
SLA/SLS/Plastic Home Appliances Spare Parts,PCS,11,40.37,9.46,17
Home Appliance Plastic Injection Molding,PCS,3000,11010,2580,17
Precision CNC Milling Machining Aluminum Parts,PCS,10,36.7,8.6,17
Rapid Protype for Home Appliances Plastic Parts,PCS,99,363.33,85.14,17
Machining Metal Processing CNC Turning Part,PCS,100,367,86,17
PCS/PP/ABS Plastic Injection Prototyping Parts,PCS,12,44.04,10.32,17
Home Appliances Spare Parts Maker ABS/Resin Parts,PCS,14,51.38,12.04,17
Cold Stamping Metal Parts of Freezer,PCS,20,73.4,17.2,17
Prototyping CNC Machining PCS/PMMA,PCS,12,44.04,10.32,17
Al6061 Customized High Precision CNC Turning Parts,PCS,15,55.05,12.9,17
High Precision Sheet Metal Stamping Part,PCS,100,367,86,17
Spare Aluminum Sheet Metal Machining Parts,PCS,10,36.7,8.6,17
SMC Mould Part for Anti-Explosion Telephone Base,SETS,4800,17616,4128,17
"Home Appliance Moulding, Plastic Injection Parts",PCS,50,183.5,43,17
"Custom Stamping DiesMachines, Cookers, Ovens.",PCS,3000,11010,2580,17
ABS Made Services Modeling Spare Part for Home Applianc,PCS,16,58.72,13.76,17
Precision Sheet Metal Aluminum Stamping Part,PCS,100,367,86,17
Plastic Injection Parts for Automotive & Electronics,PCS,600,2202,516,17
Customized Deep Drawing Metal Stamping Parts ,SETS,3500,12845,3010,17
Aluminum6061/7075 Material Part ,PCS,16,58.72,13.76,17
Custom Stamping Parts for Home Appliance,PCS,100,367,86,17
Stage Stamping Tooling for Metal Parts ,PCS,2000,7340,1720,17
Customized ABS Modeling for Home Appliance Frame Part,PCS,21,77.07,18.06,17
Custom High Precision Hardware Stamping Part,PCS,100,367,86,17
Cold Stamping Sheet Metal Parts of Gas Cooker,PCS,10,36.7,8.6,17
ABS Modeling Part for Home Appliances Painting Surface,PCS,20,73.4,17.2,17
Custom Made Hardware Sheet Metal Stamping Parts ,PCS,100,367,86,17
Water Heater Metal Stamping Parts ,SETS,5000,18350,4300,17
Customized Bending or Forming Metal Stamping Parts,SETS,50,183.5,43,17
Single Metal Stamping Die Including Kitchen Aplliance,SETS,3000,11010,2580,17
Hook Tension Spring Auto Spare Part,PCS,20,73.4,17.2,17
CO2 Laser Cutting&Engraving Machine Parts ,PCS,2500,9175,2150,17
Manufacturer CNC Turning Parts,TONS,3450,12661.5,2967,17
CNC Machining Part High Precision Steel Grinding,PCS,99,363.33,85.14,17
Construction Hoist Part Steel Gear Rack,PCS,30,110.1,25.8,17
Customized High Precision CNC Machined Partsfor Aluminum,BOXES,5000,18350,4300,17
Electric Water Kettle (HB-KT01) with LED Screen Display.,PCS,45,165.15,38.7,18
kitchen Electronic Gas Hob 710-N12,PCS,48.25,177.0775,41.495,18
Body Ceramic Cooker 2200W ,PCS,20,73.4,17.2,18
Wintoo Fast Food - Electric Crisp Machine,PCS,75,275.25,64.5,18
50 Inch Fireplace Electric Heater,PCS,165,605.55,141.9,18
Air Cleaner Fits Electric Air Conditioner,PCS,66.8,245.156,57.448,18
Electric Ceramic Cooker Gas Heater (JZG5002E),PCS,57.25,210.1075,49.235,18
Electric 1360W Meat Grinder ,PCS,25,91.75,21.5,18
Single Burner Induction Cooker ,PCS,15,55.05,12.9,18
Electric Coffee Kettle,PCS,9,33.03,7.74,18
Smart Ss Electronic Travel Hotel Stainless Steel-Red 220V,PCS,16.8,61.656,14.448,18
Three Burners +One Electric Gas Hob (54011E),PCS,55,201.85,47.3,18
New Design Electric Heating ,PCS,199.1,730.697,171.226,18
Ash Vacuum Cleaner Mac172 HEPA Filter,PCS,17,62.39,14.62,18
HEPA Filter Dust Shaking Function,PCS,22,80.74,18.92,18
Stainless Steel Tank Tilting ,PCS,2500,9175,2150,18
Gas Hob Household Home Appliance Jzs65003A,PCS,42,154.14,36.12,18
7 in 1 Nutrition Blender,PCS,50,183.5,43,18
Colorful Silicon 12PCS Stainless Steel Cookware SETS,PCS,28.5,104.595,24.51,18
Ceramic Kitchen Knives,SETS,15,55.05,12.9,18
Big Home Appliance Portable Tower Fan,PCS,22,80.74,18.92,18
Cooker Home Appliance,PCS,197,722.99,169.42,18
Manufacturing Floor Sweeper with Motor 20W,PCS,140,513.8,120.4,18
Fireproof Ash Vacuum Cleaner Mac185 S/S Tank,PCS,17,62.39,14.62,18
Air Fresher with Dust Sensor,PCS,66.8,245.156,57.448,18
" Machine, Snack Machinery (Egg-Biscuit-ROLLS)",PCS,226.5,831.255,194.79,18
Panel Healthy Radiant Heater (JH-NR18-13A),PCS,140,513.8,120.4,18
High End Ultralight Titanium - Teapot Electrical Kettle,PCS,124.92,458.4564,107.4312,18
Cast Iron Gas Hob Gas Cooker Jzs85102,PCS,55,201.85,47.3,18
Robot Cleaner and Mop,PCS,140,513.8,120.4,18
Air Washer with Dust Sensor,PCS,66.8,245.156,57.448,18
Alkaline Office Water Purifier,PCS,60,220.2,51.6,18
12PCS Stainless Steel Cookware SETS,PCS,29.5,108.265,25.37,18
Air Washer Bk-02,PCS,66.8,245.156,57.448,18
Bakery Commercial Durable Slicing Cutter Bread ,SETS,425,1559.75,365.5,18
Modern Cheap Wood Pellet ,PCS,550,2018.5,473,18
Smart Home Appliance of Air Cleaner Bk-02,PCS,66.8,245.156,57.448,18
Tempered Glass Panel Home Appliance Kitehen (R214E),PCS,68.55,251.5785,58.953,18
Luxury Gas Home Appliance for Sale Supply Derectly From Factory,PCS,1015,3725.05,872.9,18
Five Gas Burner Home Appliance (JZS4506A),PCS,68.35,250.8445,58.781,18
Hot Sale Commercial Home Appliance with Ce,PCS,265,972.55,227.9,18
8mm Black Tempered Glass Panel (JZS4508),PCS,57.25,210.1075,49.235,18
5 Burner Gas Hob Home Appliance (JZS85803),PCS,70,256.9,60.2,18
Double Doors No Frost Refrigerator (BCD-236W),BOXES,250,917.5,215,19
DC 12V Solar Fridge Freezers Refrigerator,PCS,267,979.89,229.62,19
12V Mini DC Refrigerator Home Appliances,PCS,240,880.8,206.4,19
260L Smad Kitchen Refrigeration  (KD-260F),PCS,180,660.6,154.8,19
Hot Sale Home Appliance Two Doors Refrigerator with Ce,PCS,350,1284.5,301,19
Home Appliance & Refrigerator Stamping Die (C139),SETS,3500,12845,3010,19
Compressor Fridge 12V Fridge Solar Power Refrigerator,PCS,700,2569,602,19
Silent Minibar Mini Refrigerator,PCS,130,477.1,111.8,19
12V DC Compressor Freezer Refrigerator,PCS,600,2202,516,19
White or Stainless Steel French Door Refrigerator,PCS,800,2936,688,19
12V DC Home Appliance Solar Stainless Steel Refrigerator,PCS,700,2569,602,19
12V 118L Solar DC Refrigerator for Home,PCS,700,2569,602,19
No Frost Double Door Refrigerator with SAA/Meps,PCS,220,807.4,189.2,19
Refrigerators Freezer with Icemaker,UNITS,550,2018.5,473,19
Double Ddor Defrost Refrigerator Freezer (BCD-280),PCS,200,734,172,19
Frost Free French Door Refrigerator,PCS,850,3119.5,731,19
Double-Door Home Used Combi Refrigerator,PCS,200,734,172,19
Double-Door Combi Refrigerator,PCS,220,807.4,189.2,19
Upright Automatic Frost Double Door Refrigerator,PCS,450,1651.5,387,19
Kitchen Gas Stove Gas Cooker(JZS4517A),PCS,60,220.2,51.6,20
Two Burner Cooker Use (JZG32002),PCS,33,121.11,28.38,20
Gas Cookware Three Burner (JZG710-13),PCS,42.85,157.2595,36.851,20
Double Brass Burners Gas Stove Jp-Gcg268,PCS,18.34,67.3078,15.7724,20
No. 641 Kerosene Stove Gas Stove,PCS,12,44.04,10.32,20
Cookware Five Burner Gas Stove with Pan Support,PCS,80,293.6,68.8,20
Home Appliance Gas Cooker Gas Hob (JZS85210),PCS,55,201.85,47.3,20
Cookware Cast Iron Built in Gas Hob Jzg5868,PCS,80,293.6,68.8,20
Gas Burner Gas Hob Gas Cooker Jzg5601c,PCS,60,220.2,51.6,20
Gas Cookware Hob Use Sabaf Burner,PCS,60,220.2,51.6,20
Consumer Home Appliance Electric + Gas Hob (JZS4509),BAGS,49.55,181.8485,42.613,20
Gas Burner Jzs4505c,PCS,60,220.2,51.6,20
60cm Tempered Glass 5 Burners Gas Hob,PCS,55,201.85,47.3,20
LPG Gas Hob (JZS4622),PCS,42,154.14,36.12,20
Stainless Steel Panel Built-in Gas Hob (JZS65006),PCS,45.75,167.9025,39.345,20
Gas Hob (JZS-02),PCS,30,110.1,25.8,20
Built- in Gas Hob with Four Burners (JZS4003BEC),PCS,57.25,210.1075,49.235,20
Five Burner Gas Hob with Cast Iron Pan (JZS75003),PCS,64.25,235.7975,55.255,20
Portable Gas Stove,PCS,55,201.85,47.3,20
"Gas Oven, Electric Stove",PCS,55,201.85,47.3,20
Gas Stove 5 Burners,PCS,60,220.2,51.6,20
Five Burner Gas Cooker (5904),PCS,62.25,228.4575,53.535,20
Gas Stove with Stainless Steel Panel (750-40A),PCS,42.85,157.2595,36.851,20
Glass Gas Cooker,PCS,45,165.15,38.7,20
Gas Cooker with 3 Burner,PCS,14.75,54.1325,12.685,20
Cooking Range Gas Stove,PCS,100,367,86,20
2 Burners Tempered Glass Gas Stove/Gas Cooker,PCS,20,73.4,17.2,20
Sous Vide Machine Precision Cooker,PCS,120,440.4,103.2,20
Touch Model Induction Cooker,PCS,16.5,60.555,14.19,20
4 Burner Gas Freestanding Cooker Hotel Gas Stove,PCS,1400,5138,1204,20
Food Processor Jacketed Steam Pressure Cooker,PCS,8500,31195,7310,20
Cooking Equipment 4 Burner LPG Gas Range Cooker,PCS,843,3093.81,724.98,20
Ce Certificate Freestanding Gas Cooker,PCS,100,367,86,20
Factory Supply Automatice Industrial Work Cooker,SQUARE METERS,3000,11010,2580,20
Commercial Electric Rice Cooker ,SETS,8000,29360,6880,20
One Wok and One Flat Double Burner Induction Cooker,PCS,385,1412.95,331.1,20
Counter Top Gas Pasta Cooker,PCS,350,1284.5,301,20
Single Plate Induction Cooking Hot Plate Cooker,PCS,580,2128.6,498.8,20
 Cooking Equipment 4 Burner LPG Gas Range Cooker,PCS,843,3093.81,724.98,20
Black Tempered Glass Cooker Gas Kitchen (JZG95001B),PCS,68.25,250.4775,58.695,20
Double Rings Two Plates Induction Cooker & Infared Cooker,PCS,47,172.49,40.42,20
Heavy Duty Catering Equipment 4 Burner LPG Gas,PCS,681,2499.27,585.66,20
6-Burner Table Top Gas Range Stainless Steel Cooker (HGR-66),PCS,345,1266.15,296.7,20
Good Quality Built-in Gas Cooker Jzs95201,PCS,55,201.85,47.3,20
580mm Length Four Burner Gas Home Cooker (JZS4503),PCS,45.5,166.985,39.13,20
Induction Wok Cooker Hot Pot Soup Fry Induction Cooker,PCS,1000,3670,860,20
Double Burner Countertop Induction Cooker,PCS,311,1141.37,267.46,20
Black Built-in Cast Iron Gas Cooker Jzg5708d,PCS,60,220.2,51.6,20
Four Burner Stainless Steel Gas Cooker,PCS,66.55,244.2385,57.233,20
LPG Built in Gas Hob Cooker Jzg5762,PCS,60,220.2,51.6,20
Double Burners Electric Cooktop Induction Cooker,PCS,59,216.53,50.74,20
1.6 Ton Small Farm Machinery with Ce,PCS,12000,44040,10320,21
Agriculture Silage Baler Machine,PCS,29000,106430,24940,21
20-50HP Tractor Used Farm Potato Planter Machine (LF-PT32),SETS,500,1835,430,21
"2HP Fish and Shrimp Pond Aerator Farm Machine
",PCS,240,880.8,206.4,21
30HP Farm Tractor Machine,PCS,4600,16882,3956,21
35HP Cheap Farm Machine From Huaxia Factory,SETS,4210,15450.7,3620.6,21
"3ZF-6 Agricultural Cultivator Farm 
",PCS,6000,22020,5160,21
45HP Agricultural Machinery Lawn,PCS,5900,21653,5074,21
4WD Ce Farm Small Tractor Agricultural Machinery,PCS,9000,33030,7740,21
50HP Farm Tractors Farm Machine Farm,PCS,5300,19451,4558,21
55HP Wheeled Farm Tractor Agriculture Machinery,PCS,7000,25690,6020,21
Rice Wheat Mill Machine Agriculture Machinery,PCS,250,917.5,215,21
70HP Powerful Farm Tractors Garden Tractor Machinery,PCS,24000,88080,20640,21
70HP Small Farm Tractor 4WD Agricultural Machinery,PCS,11000,40370,9460,21
80HP Farm Tractor Agriculture Machines 80HP,PCS,11000,40370,9460,21
Advanced Poultry Farm Cleaning and Dewatering Machine,SETS,35000,128450,30100,21
Agricultural Farm Equipment 2WD 4WD Tractor Machine,SETS,10000,36700,8600,21
Agricultural Tractor Farm Plant Spraying Boom Sprayer Machine,PCS,13000,47710,11180,21
Garden Pesticide Agriculture Spraying Machine,PCS,20000,73400,17200,21
Agricultural Wheel Battery,PCS,26000,95420,22360,21
"Agriculture Implements & Machinery
",PCS,15000,55050,12900,21
Farm Deep Loosening Machine,SETS,1000,3670,860,21
Automatic Chicken Farm Machinery,SETS,14000,51380,12040,21
Automatic Farm Irrigation Machine,PCS,8000,29360,6880,21
Automatic Farm Valley Pivot Watering Machine,SETS,63000,231210,54180,21
"Ce/Coc 48HP 4WD Wheel Farm Tractor Machine
",SETS,4360,16001.2,3749.6,21
Center Pivot Farm Irrigation Machine,SETS,18000,66060,15480,21
Chicken Feed Pellet Machine for Kenya Farm,PCS,4800,17616,4128,21
"Gasoline Power Tiller, 4kw/5.5HP",SETS,10000,36700,8600,21
Farm Garden Mini Digger Mini Excavator Machine,PCS,6000,22020,5160,21
Mini Farm Digger Yanmar Construction Machinery,PCS,5650,20735.5,4859,21
Crawler Excavator Farm Machinery Multi-Function,PCS,6000,22020,5160,21
Er12 Farm Machinery,PCS,9000,33030,7740,21
Everun Brand Zl08 4WD Mini Tractor,PCS,6000,22020,5160,21
"Everun Er12 1.2ton Farm Machinery
",PCS,8900,32663,7654,21
Farm Cultivator Weeder/6.5HP Mini Power Tiller,PCS,285,1045.95,245.1,21
Farm Equipment Poultry Feed Pellet Making Mill Machine,PCS,400,1468,344,21
Farm Fence Machine/Cattle Fence Machine,PCS,18000,66060,15480,21
Farm Irrigation Split Case Pump Watering Machine,SETS,1000,3670,860,21
Farm Irrigation Split Case Pump Watering Machine Mh Series,PCS,70,256.9,60.2,21
Farm Irrigation Systems/Four Wheel Towable Irrigation Machine,PCS,45000,165150,38700,21
Farm Land Grader Tractor Mounted Agriculture Leveling Machine,PCS,7000,25690,6020,21
Farm LLDPE Film Recycling Pelletizing Machine,SETS,85000,311950,73100,21
Farm Machine Barley Dryer Machine,SETS,20000,73400,17200,21
Farm Machine Xd935g,SETS,19000,69730,16340,21
Crop Grain Seed Cleaning Machine,SETS,5000,18350,4300,21
Corn Peeling Sheller Threshing Machine,PCS,295,1082.65,253.7,21
Paddy Rice Mill Husker Machine,PCS,3600,13212,3096,21
Farm Machinery Palm Nut Process Husking Machine,SETS,1300,4771,1118,21
Farm Machinery Potato Planter for 50-90HP Wheel Tractor,PCS,2600,9542,2236,21
Farm Machinery Series Intertillage Machine,SETS,613,2249.71,527.18,21
Animal Waste Manure Dewatering Machines,SETS,2200,8074,1892,21
Farm Maize Huller Corn Thresher Machine,PCS,200,734,172,21
7ton Backhoe Loader Construction Machinery,SETS,25000,91750,21500,21
Farm Use Multi Function Cassava,SETS,8000,29360,6880,21
Poultry Feed Making Pellet Mill Machine,SETS,2500,9175,2150,21
Straw Bale Press Machine,SETS,4500,16515,3870,21
Welded Wire Mesh Machine,PCS,15000,55050,12900,21
Farm Water Pump Hose Reel Irrigation Machine,SETS,6500,23855,5590,21
Farm Water Well Drilling Machine,PCS,2500,9175,2150,21
Fertilizer Production Line Granulating Machine,SETS,100000,367000,86000,21
Machinery with Rops&Fops,PCS,21000,77070,18060,21
Front End Mini Wheel Loader Farm Machinery,SETS,36000,132120,30960,21
Grassland Farm Fence Equipment Field Fencing Machine,PCS,17000,62390,14620,21
High Quality Farm Center Pivot Irrigation Machine,SETS,50000,183500,43000,21
Roll Baler Farm Machine (9YGQ-1.2),PCS,40000,146800,34400,21
High-Speed Blister Machine for Breeding Plate,SETS,30000,110100,25800,21
Mini Crawler Excavator 1000kg Farm Machine,PCS,5630,20662.1,4841.8,21
Hydraulic Borehole Drilling Rig Machine,PCS,25000,91750,21500,21
"Kima16 Wheel Loader 1.6 Ton Farm Machinery
",PCS,10000,36700,8600,21
Kima20 Wheel Loader Ce Approced 2 Ton Farm Machinery,PCS,11000,40370,9460,21
Long Durable Cottonseeds Oil Expeller Machine,PCS,1500,5505,1290,21
Low Price Volute Screw Sludge Dewatering Machine,SETS,38000,139460,32680,21
Mini 55HP Tractor Farm Machinery,PCS,15000,55050,12900,21
Mini Excavator Multi-Function Weeding Crawler Machine,PCS,19500,71565,16770,21
Tractors Agriculture Machinery,PCS,9000,33030,7740,21
Multifactional Automatic Combine Farm Harvester Machine,PCS,2000,7340,1720,21
Mushroom Temperature Control Machine,PCS,6800,24956,5848,21
Mini Farm Machinery (HQ908) with Pallet Fork,PCS,12000,44040,10320,21
New Farm Excavating Machine X8,PCS,33200,121844,28552,21
New Foton Farm Tractor Machine Lovol M500,PCS,10000,36700,8600,21
Ozone Generator Sterilization Machine,PCS,200,734,172,21
Potato/Onion Washing and Peeling Machine,SETS,1820,6679.4,1565.2,21
Casting Farm Machinery of Agricultural Part,TONS,8000,29360,6880,21
Professional Animal Feed Pellet Machine,PCS,1051,3857.17,903.86,21
Silage Grass Straw Bale Net Wrap Machine,SETS,4100,15047,3526,21
Reversible Furrow Hydraulic Farm Plough Machinery with Ce,SETS,1830,6716.1,1573.8,21
Rice Combine Harvesting Farm Machinery,PCS,30000,110100,25800,21
Semi-Auto Straw Press Machine ,SETS,25000,91750,21500,21
Sesame Seed Cleaning Machine,SETS,12000,44040,10320,21
Small Farm Tractor Agricultural Machinery,PCS,16000,58720,13760,21
Rice Mill Machine Agricultural Machinery with Pulverizer,PCS,238,873.46,204.68,21
"Strong Farm Machinery (Hq908e) with Ce, SGS",PCS,5000,18350,4300,21
30HP Tractor Farm Machinery,PCS,5000,18350,4300,21
Farm Hole Digger Earth Auger Machine,SETS,800,2936,688,21
Tractor Suspension Farm Spraying Machine ,SETS,1200,4404,1032,21
Auto Inlet Biomass Farm Wood Pellet Machine,SETS,21800,80006,18748,21
Mini Farm Tractor Ce Grass Cutter Farm Machinery,PCS,6900,25323,5934,21
Meat Bone Meal Pet Food Animal Food,TONS,460,1688.2,395.6,22
Animal Food Feed Grade DCP,TONS,300,1101,258,22
Food Grade Milk Powder Replacer for Pigs,TONS,2000,7340,1720,22
"Meat Bone Meal Animal Food Health Feed
",TONS,460,1688.2,395.6,22
Fish Meal Poultry Food Animal Feed,TONS,500,1835,430,22
Additives High Allicin Garlic Granules,TONS,1900,6973,1634,22
Feed Grade Fish Meal,TONS,500,1835,430,22
Protein Powder Animal Food Corn Gluten Meal,TONS,960,3523.2,825.6,22
Feed Grade Dicalcium Phosphate,TONS,300,1101,258,22
