product	unit	Doller	Derham	Euro	code		
PU Leather Boss Office Arm Meeting Chair	PCS	32.3	118.541	27.778	9		
Glossy Lacquer Kitchen Furniture (BY-L-92)	PCS	35	128.45	30.1	9		
Real Wood Beech Chair Furniture Jm-Wp005	PCS	35	128.45	30.1	9		
Antique Dining Chair (SP-CT834)	PCS	36.5	133.955	31.39	9		
Preschool Furniture Table and Chairs 	PCS	46	168.82	39.56	9		
Kids Table and Chair MDF Wood Children Furniture	PCS	50	183.5	43	9		
Wood Park Bench with Cast Iron  Jm-Pb045b	PCS	50	183.5	43	9		
Geometric Structure Memory Foam Pillow	SETS	64	234.88	55.04	9		
Under Bed LED Lighting KIT - 15.5 ft KIT	PCS	69	253.23	59.34	9		
Bamboo Folding Table Home Furniture	PCS	70	256.9	60.2	9		
Kd Design Steel 6-Door Locker Furniture	PCS	79	289.93	67.94	9		
High Back Ergonomic Executive Office Furniture	PCS	80	293.6	68.8	9		
Krei Hejmo Solid Wood Coffee Tea Sofa Side Table	PCS	90	330.3	77.4	9		
Genuine Leather Aluminium Office Manager Chair	PCS	95	348.65	81.7	9		
Brushed Brass Color 1-Drawer End Table	PCS	98	359.66	84.28	9		
eHemco Euro Console Sofa Table	PCS	100	367	86	9		
Leisure Aluminum Restaurant Set Table	PCS	100	367	86	9		
Rechargeable Color Changing LED Furniture for Bar	PCS	100	367	86	9		
Furniture Hotel Soild Wood Bedroom Furniture	PCS	110	403.7	94.6	9		
Glass Console Sofa Table	PCS	115	422.05	98.9	9		
Mirrored Cabinet Armoire Espresso	SETS	115	422.05	98.9	9		
White Color Solid Pine Bunk Bed 	PCS	115	422.05	98.9	9		
Wooden Chairs Hotel Furniture	PCS	120	440.4	103.2	9		
Exclusive European Office CEO Table Set 	PCS	121	444.07	104.06	9		
Beach Chair Sun Lounger Armless Outdoor Patio	PCS	125	458.75	107.5	9		
Beach Chair Sun Lounger Armless Patio	PCS	125	458.75	107.5	9		
Sun Lounger Armless Outdoor Patio	PCS	125	458.75	107.5	9		
Cheap Beauty Salon Furniture in Hot Sale	PCS	128	469.76	110.08	9		
Poolside Sun Lounger Outdoor Patio Furniture	PCS	129	473.43	110.94	9		
Homall 4 Pieces Outdoor Patio Furniture Sets	SETS	129.99	477.0633	111.7914	9		
Recci 3in Memory Foam Mattress Topper Queen	SETS	129.99	477.0633	111.7914	9		
Coffee Table with Nature Marble Top	PCS	130	477.1	111.8	9		
SUNCOO Nesting Coffee Table MDF White	PCS	140	513.8	120.4	9		
BaxTONS Studio Sorrento Lounge Chair	PCS	140.5	515.635	120.83	9		
BS Solid Wood Round Table Home Furniture	PCS	150	550.5	129	9		
Dining Room Wooden Sideboard Furniture	PCS	150	550.5	129	9		
Oak Wood Hotel Bedroom Furniture (EMT-SKB03)	PCS	150	550.5	129	9		
Shaker Style Solid Wood Furniture (ACS2-W02)	MS	150	550.5	129	9		
Waterproof Poolside Lounge Chair	PCS	163	598.21	140.18	9		
LED Golden Code European Radiance Double Drawer	PCS	165	605.55	141.9	9		
Sola Mirror Finished Faux Wood Coffee Table	PCS	165	605.55	141.9	9		
Zinus Upholstered Navy Button Detailed Platform Bed	PCS	165.71	608.1557	142.5106	9		
Antique Chesterfield Leather Wooden Sofa	PCS	176	645.92	151.36	9		
Aluminum Alloy School Classroom Furniture	PCS	200	734	172	9		
Kd Oak Table for Dining Room	PCS	200	734	172	9		
All Aluminum Waterproof Kitchen Furniture	MS	210	770.7	180.6	9		
Aluminum Bathroom Furniture with Single Basin	PCS	210	770.7	180.6	9		
Leaptime Sofa Outdoor Rattan Couch Conversation Set	SETS	219.99	807.3633	189.1914	9		
Melamine Office Manager Table (HF-BSA04)	PCS	220	807.4	189.2	9		
Black Oak Boss Table  (HF-SID001)	SETS	230	844.1	197.8	9		
Steel Dining Chair Banquet Chair and Table	SETS	230	844.1	197.8	9		
L Shape Executive Table Wooden Office (CAS-M1773)	PCS	238	873.46	204.68	9		
Customzied Anti-Corrosion Steel Lab Furniture	MS	240	880.8	206.4	9		
LED Lights Electric Flame Fireplace (A-804)	PCS	250	917.5	215	9		
Computer Table Desk Workstation (HX-8NE015)	PCS	258	946.86	221.88	9		
Wooden Double Bed Furniture Set Oak	PCS	259	950.53	222.74	9		
Black Oak Wooden Executive Boss Table (HF-SID001)	PCS	260	954.2	223.6	9		
Hot Sale PE Rattan Wicker Chair Outdoor Furniture	SETS	260	954.2	223.6	9		
Chinese Home Office Wooden Table	PCS	263	965.21	226.18	9		
Metal Dining Set Aluminum Embossing Furniture	PCS	283	1038.61	243.38	9		
L Shape Manager Director Office Desk Furniture	PCS	288	1056.96	247.68	9		
Melamine Meeting Conference Boardroom Table	SETS	290	1064.3	249.4	9		
Aluminum Polywood Dining Furniture (MFPW-18107S)	PCS	299	1097.33	257.14	9		
Outdoor Fabric Lounge Sofa Set Garden Furniture	SETS	299	1097.33	257.14	9		
PHI VILLA 4-Piece Conversation Set Weather Cushioned	SETS	299.99	1100.9633	257.9914	9		
4-PCS Garden Leisure Hotel Patio	PCS	300	1101	258	9		
Coffee Table Rotating Contemporary Square	PCS	300	1101	258	9		
Mobile Shelving Electronic Digital Cabinet	PCS	300	1101	258	9		
Red Velvet Sofas Hotel Bedroom 	PCS	300	1101	258	9		
Waterproof Patio Rattan Garden Dining Furniture	PCS	300	1101	258	9		
Handmade Hall Concole Accent Cappuccino Coffee End Table	PCS	318.5	1168.895	273.91	9		
Acrylic Coffee Table 	PCS	332	1218.44	285.52	9		
2018 New Aluminum Frame Outdoor Furniture	SETS	350	1284.5	301	9		
All Weather Rattan and Wicker Furniture Marquee Outdoor Furniture	PCS	350	1284.5	301	9		
New Design Lay Down Rattan Sofa Garden Outdoor Patio Furniture	SETS	350	1284.5	301	9		
Wicker Leisure Outdoor Garden Sofa	SETS	350	1284.5	301	9		
Lb8816 Bed Home Furniture	PCS	380	1394.6	326.8	9		
PHI VILLA 3 Piece New Outdoor Sectional Sofa	SETS	398.99	1464.2933	343.1314	9		
Best Price MFC Workstation with Hollow Division	PCS	400	1468	344	9		
Hot Selling 4 PCS Wicker Sofa Set Patio	SETS	400	1468	344	9		
Office Workstation with Partition Screen	SETS	400	1468	344	9		
Dining Table and Chair Set Furniture	PCS	400	1468	344	9		
Patio Aluminum Table SETS 	PCS	400	1468	344	9		
Aluminum Plastic Wood Dining Table SETS Patio	PCS	420	1541.4	361.2	9		
Outdoor Furniture Dining Sets Rattan and Glass	PCS	420	1541.4	361.2	9		
Garden Rattan Dining Set 6 Chairs 	PCS	430	1578.1	369.8	9		
Gloss Lacquered Bedroom Furniture (HF-MN012)	SETS	430	1578.1	369.8	9		
Modern Garden Patio Leisure Lounge Rattan Outdoor	PCS	430	1578.1	369.8	9		
Patio Dining Outdoor Leisure Table	PCS	453	1662.51	389.58	9		
Banquette Dining Room Furniture Made in China	SETS	490	1798.3	421.4	9		
7PCS Patio Outdoor Backyard Dining Set Furniture	PCS	498	1827.66	428.28	9		
7PCS Patio Outdoor Backyard Dining SETS	SETS	498	1827.66	428.28	9		
Patio Garden Leisure Aluminum Deep-Seat Cushion	PCS	499	1831.33	429.14	9		
Wooden Mirror Dresser Cabinet (SM-D34)	PCS	500	1835	430	9		
Garden Cast Aluminum Outdoor Furniture	SETS	500	1835	430	9		
outdoor Furniture Rattan Dining Sets	PCS	500	1835	430	9		
Patio Rattan Wicker Leisure  Dining Sofa SETS 	SETS	500	1835	430	9		
Solid Wood Rectangular Ext. Table Dining Room	SETS	500	1835	430	9		
Modern Wooden Dining Room Table	PCS	510	1871.7	438.6	9		
Flexible and Foldable Parasol Solar Charger Outdoor	SETS	555	2036.85	477.3	9		
Garden Patio Plastic Wood Dining Set Polywood	SETS	560	2055.2	481.6	9		
Outdoor Leisure and Teak Wooden Sofa Sets	SETS	560	2055.2	481.6	9		
Patio Rattan Wicker Furniture Resin Outdoor Sofa	PCS	570	2091.9	490.2	9		
Textilene Rope Garden Hanging Swing Patio	SETS	580	2128.6	498.8	9		
Patio Rattan Wicker Furniture Resin Sofa	PCS	590	2165.3	507.4	9		
Bar Set Wicker Weaving Resin Patio Furniture	SETS	598	2194.66	514.28	9		
Foshan Walden New Outdoor Garden Furniture	PCS	599	2198.33	515.14	9		
Modern Garden Outdoor Sofa Furniture	SETS	599	2198.33	515.14	9		
All Steel Lab Furniture with Ce Certificate	PCS	600	2202	516	9		
Functional Garden SETS Stretch Dining Table	PCS	650	2385.5	559	9		
Outdoor Dining Tables Garden Furniture Patio	PCS	660	2422.2	567.6	9		
7 Pieces Set Rattan Outdoor Furniture	SETS	680	2495.6	584.8	9		
Italian Genuine Leather Modern Sofa Furniture	PCS	685	2513.95	589.1	9		
Functional Garden Set Stretch Dining Table	PCS	700	2569	602	9		
Gray U Shape Corner Fabric Sofa	PCS	700	2569	602	9		
Metal Furniture for Home and Garden	SETS	700	2569	602	9		
Cast Aluminum Rattan Table and Chair Set Patio	PCS	700	2569	602	9		
Elegant Gray U Shape Corner Fabric Sofa	PCS	723	2653.41	621.78	9		
Wicker Outdoor Sofa Set Resin Wicker Sofa	SETS	729	2675.43	626.94	9		
Home Sofa Leather Modern Sofa 1081#	SETS	750	2752.5	645	9		
American Oak Home Bedroom SETS	SETS	782	2869.94	672.52	9		
Anti-Doping Bench Lab Furniture with Reagent Shelf	PCS	800	2936	688	9		
Chemical Reagent Resistant School Lab Furniture	PCS	800	2936	688	9		
Aluminum Rattan & Wicker Garden Sofa Outdoor	SETS	800	2936	688	9		
Nordic Simple Leather Fabric Bed 	PCS	800	2936	688	9		
Physics Chemistry Lab Furniture with Reagent Shelf	PCS	800	2936	688	9		
University Lab Furniture Price with High Quality	PCS	800	2936	688	9		
New Classical Wooden Bed / Hotel Bedroom Furniture	PCS	805	2954.35	692.3	9		
Chemical Resistant Steel Lab Furniture	PCS	825	3027.75	709.5	9		
White Textilene Outdoor Daybed in Tent with Rattan Base Wicker	PCS	850	3119.5	731	9		
PHI VILLA 9 Piece Outdoor Furniture Sectional Patio Dining Set 	SETS	869	3189.23	747.34	9		
Charcoal Full Bookcase Captain Bed with 12 Drawer Storage	SETS	879	3225.93	755.94	9		
Bathroom Basin Accessories Cabinet Bathroom	PCS	900	3303	774	9		
New Design Patio Leisure Sofa Outdoor Furniture	SETS	900	3303	774	9		
Fabric Upholstered Sofa Outdoor Furniture	SETS	1000	3670	860	9		
Garden Aluminium Fabric Sectional Sofa Outdoor Furniture	SETS	1000	3670	860	9		
Living Room Modern Design Fabric Sofa	PCS	1000	3670	860	9		
Sectional Couch Green Velvet Corner Sofa	PCS	1024	3758.08	880.64	9		
4-Layer Yogagel Memory Foam System	SETS	1049	3849.83	902.14	9		
Steel Lab Furniture with Wall Mounted Cabinet and Ce Certification	PCS	1100	4037	946	9		
Metal Furniture with Reagent Shelves	PCS	1150	4220.5	989	9		
Factory Direct New Modern Furniture TV-0053	PCS	1200	4404	1032	9		
Walnut Hampton Hotel Bedroom	PCS	1266	4646.22	1088.76	9		
Economic Design Oak Bedroom Furniture	SETS	1299	4767.33	1117.14	9		
Salon Chair for Beauty Salon Equipment	PCS	1300	4771	1118	9		
Plywood Cover with Wood Veneer Hotel Bedroom	SETS	1350	4954.5	1161	9		
Aluminum Alloy L Shape Sofa Set	SETS	1365	5009.55	1173.9	9		
Designer Leather Sofa Furniture	SETS	1368	5020.56	1176.48	9		
Deluxe Presidential Hotel Bedroom Furniture SETS	SETS	1380	5064.6	1186.8	9		
Garden and Patio Aluminum Dining Set	PCS	1399	5134.33	1203.14	9		
Modern Home Italian Leather Sofa Set	SETS	1550	5688.5	1333	9		
King Size Luxury Chinese Wooden Bedroom Furniture	SETS	1650	6055.5	1419	9		
Custom Modern Design Plywood Cover with Wood Veneer	PCS	1699	6235.33	1461.14	9		
Patio Aluminum Garden Fire Pit Dining Set	SETS	1699	6235.33	1461.14	9		
Leisure Waterproof Modern Uphostery Fabric Sofa SETS	PCS	1700	6239	1462	9		
Double Hospitality Guest Hotel Bedroom Furniture	SETS	1760	6459.2	1513.6	9		
Hotel Bed Room Furniture Set (HD626)	PCS	1799	6602.33	1547.14	9		
High Quality Lab Furniture (JH-SL001)	SETS	1800	6606	1548	9		
Modern High Gloss PVC Lacquer Kitchen Furniture	PCS	1899	6969.33	1633.14	9		
4 Star King Size Beige Customized Hotel Furniture	SETS	1999	7336.33	1719.14	9		
Plywood with Solid Wood Hotel Bedroom Furniture	SETS	2000	7340	1720	9		
European Style Hotel Bed Room Furniture	SETS	2100	7707	1806	9		
King Size Hotel Hospitality Guest Bedroom Furniture	SETS	2150	7890.5	1849	9		
Modern Design Hotel Room Wooden Furniture	SETS	2400	8808	2064	9		
Foshan Modern Solid Wood Panel Bedroom	PCS	2500	9175	2150	9		
Apartment Guest Room Furniture	SETS	2980	10936.6	2562.8	9		
Chinese Wooden Hotel Bedroom Furniture	SETS	2980	10936.6	2562.8	9		
Wood Modern Hospitality Hotel Bedroom	PCS	3000	11010	2580	9		
Solid Wood Kitchen Cabinets Furniture	SETS	3250	11927.5	2795	9		
Hotel Furniture for Bedroom Set (YB-809)	PCS	3500	12845	3010	9		
MDF Paint White Lacquer Wood Kitchen Cabinets	SETS	4000	14680	3440	9		
Custom Design Solid Wood/MDF Kitchen Cabinets	PCS	5000	18350	4300	9		
Modern Design Lacquer Series Kitchen (BR-L003)	SETS	5238	19223.46	4504.68	9		
White Shaker Door Solid Wood Cabinet	SETS	8000	29360	6880	9		
Artificial Modern Walnut Wood Veneer Cabinets	SETS	15000	55050	12900	9		
L-Shaped Simple Design MDF Kitchen Cabinets	SETS	15000	55050	12900	9		
Dry Cleaning Poly Garment ROLLS Bag	TONS	" $1,900.00 "	" € 6,973.00 "	" € 1,634.00 "	10		
Plastic Cloth Garment Bag in ROLLS	TONS	" $1,900.00 "	" € 6,973.00 "	" € 1,634.00 "	10		
Cottons Fabric Suit Hanger Garment Bag 	PCS	 $0.76 	 € 2.79 	 € 0.65 	10		
Suit Cover Carrier Clothes Luggage Bag	PCS	 $14.80 	 € 54.32 	 € 12.73 	10		
LDPE Disposable Dry Cleaning Garment Bag on ROLLS	TONS	" $1,800.00 "	" € 6,606.00 "	" € 1,548.00 "	10		
OEM Garment Bag with Customed Logo Printing	PCS	 $1.50 	 € 5.51 	 € 1.29 	10		
Foldable Custom Polyester Garment Sports Duffle Bag	PCS	 $5.00 	 € 18.35 	 € 4.30 	10		
Non-Woven Foldable Suit Cover Garment Bag	PCS	 $1.17 	 € 4.29 	 € 1.01 	10		
Fashion Men's 2 in 1 Garment Bag+ Portable Suit Jacket Bag	PCS	 $20.80 	 € 76.34 	 € 17.89 	10		
Fabric Logo Printed Tote Handbags	PCS	 $1.50 	 € 5.51 	 € 1.29 	10		
Dustproof Garment Bags with Pocket and PVC Window	PCS	 $3.00 	 € 11.01 	 € 2.58 	10		
Gym Bag with Shoe Compartment Garment Bag	PCS	 $8.00 	 € 29.36 	 € 6.88 	10		
Men's Travel Suit Garment Cover Bag	PCS	 $1.45 	 € 5.32 	 € 1.25 	10		
Foldable Dress Clothes Suit Protector Garment Bag	PCS	 $4.50 	 € 16.52 	 € 3.87 	10		
Fashion Design Garment Custom Bags	PCS	 $13.00 	 € 47.71 	 € 11.18 	10		
Non-Woven Black Suit Garment Bags (ST60WB)	PCS	 $1.15 	 € 4.22 	 € 0.99 	10		
Protective Garment Bag	PCS	 $1.50 	 € 5.51 	 € 1.29 	10		
CE Approved Medical Field Composite Equipments	SETS	" $60,000.00 "	" € 220,200.00 "	" € 51,600.00 "	11		
Color Magnification Binocular Loupes of Dental Hospital	PCS	 $35.00 	 € 128.45 	 € 30.10 	11		
Medical Bed Hospital Equipment	PCS	" $15,000.00 "	" € 55,050.00 "	" € 12,900.00 "	11		
Medical Hf Mobile X-ray Machine Equipment	PCS	" $10,000.00 "	" € 36,700.00 "	" € 8,600.00 "	11		
Laser Diode Hair Removal Laser Medical Aesthetic	PCS	" $5,500.00 "	" € 20,185.00 "	" € 4,730.00 "	11		
B Model Ultrasound Scanner	SETS	" $2,000.00 "	" € 7,340.00 "	" € 1,720.00 "	11		
Instruments Anesthesia Equipment (JINLING-850)	UNITS	" $5,400.00 "	" € 19,818.00 "	" € 4,644.00 "	11		
High Grade Infant Incubator (H-2000)	PCS	" $1,500.00 "	" € 5,505.00 "	" € 1,290.00 "	11		
Dental Chair PU Colors for Dental Hospital Medical Lab	PCS	 $980.00 	" € 3,596.60 "	 € 842.80 	11		
Dental Handpiece of Low Speed Handpiece Kit	PCS	 $47.00 	 € 172.49 	 € 40.42 	11		
Dental Teeth Whitening Machine	PCS	 $40.00 	 € 146.80 	 € 34.40 	11		
Eswt-PRO Extracorporal Shock Wave Therapy	PCS	" $1,990.00 "	" € 7,303.30 "	" € 1,711.40 "	11		
FC-P1 Ce Approved Foldable Electric Wheelchair	PCS	" $4,000.00 "	" € 14,680.00 "	" € 3,440.00 "	11		
Green Tech Ampoule Melting Sealing Medical Laboratory	PCS	" $3,500.00 "	" € 12,845.00 "	" € 3,010.00 "	11		
Fiber Laser Engraving Marking Equipment	PCS	" $4,000.00 "	" € 14,680.00 "	" € 3,440.00 "	11		
Hospital Digital X Ray Unit and Medical 	SETS	" $1,370.00 "	" € 5,027.90 "	" € 1,178.20 "	11		
ICU Ventilation Environment System PA-700b II	PCS	" $3,000.00 "	" € 11,010.00 "	" € 2,580.00 "	11		
IPL Shr Opt Laser Permanent Hair Removal Machine	PCS	" $2,900.00 "	" € 10,643.00 "	" € 2,494.00 "	11		
ISO Electric Wheelchair Type (ME192)	PCS	 $800.00 	" € 2,936.00 "	 € 688.00 	11		
Luxurious Type Imported Upholstery Floor-Fixed	PCS	" $6,000.00 "	" € 22,020.00 "	" € 5,160.00 "	11		
Medical Device Surgery Ultrasound Clinic	PCS	" $7,000.00 "	" € 25,690.00 "	" € 6,020.00 "	11		
Medical Equipment Knee Cpm	PCS	 $980.00 	" € 3,596.60 "	 € 842.80 	11		
4D Color Doppler Ultrasound Scanner System	PCS	" $25,000.00 "	" € 91,750.00 "	" € 21,500.00 "	11		
Electric with Guardrail Transport Stretcher	PCS	" $1,500.00 "	" € 5,505.00 "	" € 1,290.00 "	11		
Medical Equipment Gait Training System	PCS	" $1,000.00 "	" € 3,670.00 "	 € 860.00 	11		
Plx101 High Frequency Mobile X-ray	PCS	" $6,099.00 "	" € 22,383.33 "	" € 5,245.14 "	11		
Medical Glass Professional X-ray Equipment Protection	PCS	 $460.00 	" € 1,688.20 "	 € 395.60 	11		
Medical IPL Shr Elight Laser Hair Removal	PCS	" $3,000.00 "	" € 11,010.00 "	" € 2,580.00 "	11		
Laser RF Fractional CO2 	PCS	" $10,000.00 "	" € 36,700.00 "	" € 8,600.00 "	11		
Medical LCD Display Class B 23L Dental Sterilizer Autoclave 	PCS	" $1,521.00 "	" € 5,582.07 "	" € 1,308.06 "	11		
Mic-Heat Adsorption Desiccant Dryer	PCS	" $1,041.00 "	" € 3,820.47 "	 € 895.26 	11		
My-A031 Full Digital Color Doppler 4D Ultrasound Scanner	PCS	 $680.00 	" € 2,495.60 "	 € 584.80 	11		
Portable Etco2 Real-Time Capnograph	PCS	" $1,500.00 "	" € 5,505.00 "	" € 1,290.00 "	11		
Portable IPL Laser Shr Elight Medical Beauty Hair Removal Equipment	PCS	" $2,000.00 "	" € 7,340.00 "	" € 1,720.00 "	11		
Portable Medical Laser Fractional CO2 Laser Beauty Equipment (FG 900-B)	PCS	" $10,000.00 "	" € 36,700.00 "	" € 8,600.00 "	11		
Ozone Generator Equipment Zamt-80 for Ri	PCS	" $2,800.00 "	" € 10,276.00 "	" € 2,408.00 "	11		
6 Multi-Parameters Patient Monitor for Hospital-Mslmp18	PCS	" $7,000.00 "	" € 25,690.00 "	" € 6,020.00 "	11		
Professional Anti-Aging Beauty Equipment	SETS	" $3,900.00 "	" € 14,313.00 "	" € 3,354.00 "	11		
Laser Depilation Wavelength Laser Hair Removal Salon	PCS	" $9,000.00 "	" € 33,030.00 "	" € 7,740.00 "	11		
Permanent Diode Laser Hair Removal 808nm 2000W Laser	PCS	" $5,000.00 "	" € 18,350.00 "	" € 4,300.00 "	11		
Wh Design LED Handpiece with E-Generator	PCS	 $48.00 	 € 176.16 	 € 41.28 	11		
Free Apron X Ray Lead Radiation-Proof Clothes	PCS	 $800.00 	" € 2,936.00 "	 € 688.00 	12		
Dental X-ray Protective Gown Clothes for Children	PCS	 $120.00 	 € 440.40 	 € 103.20 	12		
Custom Men Cottons Drill High Visibility	PCS	 $20.00 	 € 73.40 	 € 17.20 	12		
Customization Reusable Polyester Cleanroom ESD Garment	PCS	 $4.80 	 € 17.62 	 € 4.13 	12		
High Collar Waistcoat Protection Clothing	PCS	 $43.00 	 € 157.81 	 € 36.98 	12		
Lead Rubber Clothing Protective Clothing	PCS	 $47.00 	 € 172.49 	 € 40.42 	12		
Durable Cleanroom ESD Coverall	PCS	 $4.50 	 € 16.52 	 € 3.87 	12		
Nursing Navy Blue Scrubs Medical Clothing	SETS	 $8.90 	 € 32.66 	 € 7.65 	12		
Thermal Safety Reflective Working Clothes	PCS	 $20.00 	 € 73.40 	 € 17.20 	12		
Medical Garments Clothes Supplier (H25)	PCS	 $8.50 	 € 31.20 	 € 7.31 	12		
Hospital Clothes for Nurse Working Clothes	PCS	 $10.00 	 € 36.70 	 € 8.60 	12		
Surgery Hand Washing Clothes	PCS	 $50.00 	 € 183.50 	 € 43.00 	12		
Medical Wear Clothing (H18)	PCS	 $8.50 	 € 31.20 	 € 7.31 	12		
Patient Medical Clothes for Hospital	PCS	 $8.58 	 € 31.49 	 € 7.38 	12		
Medical Radiation-Proof Clothes 0.50mmpb	PCS	 $40.00 	 € 146.80 	 € 34.40 	12		
Medical Lead Rubber Clothing Protective Clothing	PCS	 $47.00 	 € 172.49 	 € 40.42 	12		
Disposable Patient Clothing	PCS	 $4.80 	 € 17.62 	 € 4.13 	12		
Intergrated Surgical Clothes with Mask	PCS	 $20.00 	 € 73.40 	 € 17.20 	12		
Disposable Nonwoven Surgical Operating Room Clothing	PCS	 $8.50 	 € 31.20 	 € 7.31 	12		
Medical Pasg Pneumatic Anti-Shock Garment	PCS	 $600.00 	" € 2,202.00 "	 € 516.00 	12		
Medical Uniforms Nurse Scrub Clothes	SETS	 $12.10 	 € 44.41 	 € 10.41 	12		
Hospital Medical Uniforms	PCS	 $16.39 	 € 60.15 	 € 14.10 	12		
Medical/Hospital Clothes (HS-N001)	PCS	 $4.70 	 € 17.25 	 € 4.04 	12		
OEM Antistatic Textile Clean Garment	PCS	 $6.70 	 € 24.59 	 € 5.76 	12		
Spunbonded Nonwoven Disposable Medical Surgical Gown	PCS	 $1.50 	 € 5.51 	 € 1.29 	12		
Dust Prevention Garments for Production Line	SETS	 $7.80 	 € 28.63 	 € 6.71 	12		
X Ray Lead Radiation-Proof Clothes	SETS	 $550.00 	" € 2,018.50 "	 € 473.00 	12		
X Ray Protective Clothing	PCS	 $120.00 	 € 440.40 	 € 103.20 	12		
X Ray Protective Clothing Protective Clothing	PCS	 $47.00 	 € 172.49 	 € 40.42 	12		
X Ray Radiation Protective Clothes	SETS	 $550.00 	" € 2,018.50 "	 € 473.00 	12		
X ray Apparel from X ray/Gamma Ray (0.5mmpb)	PCS	 $130.00 	 € 477.10 	 € 111.80 	12		
Yuhong Medical X-ray Protective Clothing	PCS	 $130.00 	 € 477.10 	 € 111.80 	12		
Medical Psa Nitrogen /Oxygen Generator	PCS	" $100,000.00 "	" € 367,000.00 "	" € 86,000.00 "	13		
"80-2b Electric Centrifuge, Tabletop Medical Centrifuge"	PCS	 $72.00 	 € 264.24 	 € 61.92 	13		
86c Ultra Low Temperature Freezer/ Medical Freezer	SETS	" $5,000.00 "	" € 18,350.00 "	" € 4,300.00 "	13		
Ce FDA Approced Medical Compression Stockings	PAIR	 $5.00 	 € 18.35 	 € 4.30 	13		
Ce ISO Hospital Medical Dual Head Stethoscope (MA193)	PCS	 $1.08 	 € 3.96 	 € 0.93 	13		
Electric Multi-Function Medical  /Hospital/Nursing Bed	PCS	" $2,450.00 "	" € 8,991.50 "	" € 2,107.00 "	13		
Cryolipolysis/Coolsculpting/Zeltiq Slimming Machine	SETS	" $4,999.00 "	" € 18,346.33 "	" € 4,299.14 "	13		
CNC Milling Metal Turning Machining Parts	PCS	 $31.00 	 € 113.77 	 € 26.66 	13		
Disposable Medical Silicone Endotracheal Tube - Ce ISO	PCS	 $7.50 	 € 27.53 	 € 6.45 	13		
Supercritical CO2 Extraction Machine for Cbd	SETS	" $355,000.00 "	" € 1,302,850.00 "	" € 305,300.00 "	13		
Medical Endotracheal Cannula Tubing Plastic Extrusion	SETS	" $25,000.00 "	" € 91,750.00 "	" € 21,500.00 "	13		
Dual-Energy X-ray Bone Densitometer Instrument	SETS	" $60,000.00 "	" € 220,200.00 "	" € 51,600.00 "	13		
Oilless Rotary Screw Type Air Compressor	PCS	" $30,000.00 "	" € 110,100.00 "	" € 25,800.00 "	13		
LEMO compatible metal Circular Connector	PCS	 $8.60 	 € 31.56 	 € 7.40 	13		
Medical Grade Disposable Latex Examination Gloves	BOXES	 $25.00 	 € 91.75 	 € 21.50 	13		
Portable Ultrasound Scanner in Hospital	PCS	" $5,000.00 "	" € 18,350.00 "	" € 4,300.00 "	13		
Exercise Bike for Arm Leg Rehabilitation	PCS	" $2,200.00 "	" € 8,074.00 "	" € 1,892.00 "	13		
Gait Training System for Rehabilitation	PCS	" $1,000.00 "	" € 3,670.00 "	 € 860.00 	13		
Lightweight Sport Wheelchair for Basketball	PCS	 $411.60 	" € 1,510.57 "	 € 353.98 	13		
Neonate Baby Care Infant Incubator	PCS	" $3,000.00 "	" € 11,010.00 "	" € 2,580.00 "	13		
Disposable IV Transfusion Infusion Set with Luer Lock	PCS	 $0.10 	 € 0.37 	 € 0.09 	13		
Disposable Medical Gauze Swab	BAG	 $0.80 	 € 2.94 	 € 0.69 	13		
Surgical Power Tools Oscillating Sagittal Saw	PCS	" $1,400.00 "	" € 5,138.00 "	" € 1,204.00 "	13		
Pets Cremation Incinerator (WFS)	SETS	" $5,000.00 "	" € 18,350.00 "	" € 4,300.00 "	13		
Multi purpose Hospital Surgical Medical Table	PCS	" $3,700.00 "	" € 13,579.00 "	" € 3,182.00 "	13		
Optical Glass Loupe Dental Binocular Magnifier	PCS	 $120.00 	 € 440.40 	 € 103.20 	13		
Medical Rubber Seal Rubber Products	PCS	 $10.00 	 € 36.70 	 € 8.60 	13		
Industrial Equipment PSA Oxygen Generator	PCS	" $50,000.00 "	" € 183,500.00 "	" € 43,000.00 "	13		
Sc Ptca Balloon Dilatation Catheter Medical Device	PCS	 $70.00 	 € 256.90 	 € 60.20 	13		
Sheet Metal Fabrication Stamping Parts	PCS	 $300.00 	" € 1,101.00 "	 € 258.00 	13		
Ice Painfree Permanent Diode Laser Hair RemovalClinic Medical Ce TUV	PCS	" $5,000.00 "	" € 18,350.00 "	" € 4,300.00 "	13		
Double Dome LED Ceiling Light Shadowless (700500 LED)	SETS	" $2,700.00 "	" € 9,909.00 "	" € 2,322.00 "	13		
High Speed Refrigerated Centrifuge 16000rpm	PCS	 $800.00 	" € 2,936.00 "	 € 688.00 	13		
Lipo Laser Slimming Machine (TUVmedical CE)	PCS	" $3,500.00 "	" € 12,845.00 "	" € 3,010.00 "	13		
UL FM Carbon Galvanzied Steel Pipe	TONS	 $500.00 	" € 1,835.00 "	 € 430.00 	14		
Seamless Carbon Steel Pipe	TONS	 $800.00 	" € 2,936.00 "	 € 688.00 	14		
Q235 Hot Dipped Galvanized Steel Pipe	TONS	 $650.00 	" € 2,385.50 "	 € 559.00 	14		
En 10219 ASTM A500 Welded ERW Steel Pipe	TONS	 $800.00 	" € 2,936.00 "	 € 688.00 	14		
