REF,repExporter,cityOfRepExporter,exporter,cityOfExporter,importer,cityOfImporter,repImporter,cityOfrepImporter,Origin,laoding,Discharge,totalAmount,amountToWord,p1name,p1qty,p1unit,p1unitp,p1total,p2name,p2qty,p2unit,p2unitp,p2total,p3name,p3qty,p3unit,p3unitp,p3total,p4name,p4qty,p4unit,p4unitp,p4total,p5name,p5qty,p5unit,p5unitp,p5total,numOfClient,currency,date
G-BBY-0050,,,CHIANGRAI FROZEN FOODS CO.-LTD  ,THAILAND,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Origin: THAILAND,Loading: THAILAND,Discharge: Tianjin- China,69488,Sixty Nine Thousand Four Hundred Eighty Eight Euros only,PVDF Coating Aluminium Curtain Wall,23.0,TONS,3021.217391304348,69488.0,,,,,,,,,,,,,,,,,,,,,,EURO,7/1/2019
G-BBY-0114,,,CHINA AMAZONA MACHINERY CO.- LIMITED,CHINA,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Origin: CHINA,Loading: CHINA,Discharge: Tianjin- China,11053,Eleven Thousand Fifty Three Euros only,Fully Automatic Reinforced Lintel Machine,1.0,SETS,11053.0,11053.0,,,,,,,,,,,,,,,,,,,,,,EURO,24/01/2019
G-BBY-0091,,,CHINA OCEAN SHIPPING AGENCY CO LTD,CHINA,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Origin: CHINA,Loading: CHINA,Discharge: Tianjin- China,223108,Two Hundred Twenty Three Thousand One Hundred Eight Euros only,PVDF/PE ACP Acm Aluminum Composite Panel,52.0,TONS,3370.7865168539324,175280.89887640448,Steel Structure Warehouse/Workshop 005,318,SQUARE METERS,150.39968906791046,47827.10112359552,,,,,,,,,,,,,,,,,EURO,19/01/2019
G-BBY-0107,,,CHINA OCEAN SHIPPING AGENCY CO LTD,CHINA,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Origin: CHINA,Loading: CHINA,Discharge: Tianjin- China,224350,Two Hundred Twenty Four Thousand Three Hundred Fifty Euros only,Cold Rolled Metal Roof Sheet Galvalume Galvanized Prepainted Steel Coil PPGI,173.0,TONS,1123.5955056179776,194382.0224719101,Electrophotetic Coating Black Aluminium Profile,11,TONS,2724.3615934627173,29967.97752808989,,,,,,,,,,,,,,,,,EURO,24/01/2019
G-BBY-0047,,,CNTIC TIANJIN IMPORT & EXPORT CO LTD,CHINA,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Origin: CHINA,Loading: CHINA,Discharge: Tianjin- China,4573,Four Thousand Five Hundred Seventy Three Euros only,FRP Pultruded Box Section  FRP/GRP Pultrusion Profiles  Fiberglass Profiles,130.0,MS,35.176923076923075,4573.0,,,,,,,,,,,,,,,,,,,,,,EURO,6/1/2019
G-BBY-0113,,,CONTARINI LEOPOLDO SRL   ,ITALY,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Origin: ITALY,Loading: ITALY,Discharge: Tianjin- China,6963,Six Thousand Nine Hundred Sixty Three Euros only,Sgch Colors Coated Steel Roofingآ Material,9.0,TONS,773.6666666666666,6963.0,,,,,,,,,,,,,,,,,,,,,,EURO,24/01/2019
G-BBY-0117,,,D.B INDUSTRIAL LTD   ,U S A,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Origin: U S A,Loading: U S A,Discharge: Tianjin- China,22173,Twenty Two Thousand One Hundred Seventy Three Euros only,Galvanized Round Steel Pipe,32.0,TONS,692.90625,22173.0,,,,,,,,,,,,,,,,,,,,,,EURO,24/01/2019
G-BBY-0079,,,D.B INDUSTRIAL LTD           ,U S A,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Origin: U S A,Loading: U S A,Discharge: Tianjin- China,40376,Forty Thousand Three Hundred Seventy Six Euros only,Industrial PVC High Speed Shutter Door/Fast Shutter Door/High Speed PVC Roll up/Fold up Door,26.0,SETS,1552.923076923077,40376.0,,,,,,,,,,,,,,,,,,,,,,EURO,14/01/2019
G-BBY-0074,,,DBI TRADING AND CONSULTING LIMITED   ,"HONGKONG, CHINA",Tianjin Kaigui Machinery Co.LTD,Tianjin- China,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,"Origin: HONGKONG, CHINA","Loading: HONGKONG, CHINA",Discharge: Tianjin- China,39063,Thirty Nine Thousand Sixty Three Euros only,Fully Automatic Reinforced Lintel Machine,4.0,SETS,9765.75,39063.0,,,,,,,,,,,,,,,,,,,,,,EURO,12/1/2019
G-BBY-0110,,,DELTAMIX INTERNATIONAL TRADING ,CHINA,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Origin: CHINA,Loading: CHINA,Discharge: Tianjin- China,4144,Four Thousand One Hundred Forty Four Euros only,Poplar Film Faced Plywood/Marine Plywood,207.0,PCS,20.019323671497585,4144.0,,,,,,,,,,,,,,,,,,,,,,EURO,24/01/2019
G-BBY-0065,,,DESITIN ARZNEIMITTEL GMBH  ,GERMANY,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Origin: GERMANY,Loading: GERMANY,Discharge: Tianjin- China,7400,Seven Thousand Four Hundred Euros only,Big Size Ultra Thin Marble Look Porcelain Ceramic Floor Tile,105.0,SQUARE METERS,70.47619047619048,7400.0,,,,,,,,,,,,,,,,,,,,,,EURO,12/1/2019
G-BBY-0057,,,DIHB DEUTSCH-INTERNATIONALE HANDELSBEZIEHUNGEN GMBH,GERMANY,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Origin: GERMANY,Loading: GERMANY,Discharge: Tianjin- China,64440,Sixty Four Thousand Four Hundred Forty Euros only,316 Grade Stainless Steel Round Bar,16.0,TONS,4027.5,64440.0,,,,,,,,,,,,,,,,,,,,,,EURO,8/1/2019
G-BBY-0071,,,EUROPEAN MUD COMPANY AS,NORWAY,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Origin: NORWAY,Loading: NORWAY,Discharge: Tianjin- China,21487,Twenty One Thousand Four Hundred Eighty Seven Euros only,Calacatta White Color Quartz STONSe Slabs Tiles/Engineered STONSe/Buildingآ Material/Artificial Quartz STONSe,195.0,SQUARE METERS,110.18974358974359,21487.0,,,,,,,,,,,,,,,,,,,,,,EURO,12/1/2019
G-BBY-0137,,,EZM EDELSTAHLZIEHEREI MARK GMBH,GERMANY,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Origin: GERMANY,Loading: GERMANY,Discharge: Tianjin- China,200982,Two Hundred Thousand Nine Hundred Eighty Two Euros only,Reliable Quality Motoer Lift 2 Ton Building Construction Materials Hoist Passenger Home Hydraulic Sightseeing Elevator,100.0,SETS,2009.82,200982.0,,,,,,,,,,,,,,,,,,,,,,EURO,29/01/2019
G-BBY-0089,,,FASSKA PAR S.A,BELGIUM,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Origin: BELGIUM,Loading: BELGIUM,Discharge: Tianjin- China,283798,Two Hundred Eighty Three Thousand Seven Hundred Ninety Eight Euros only,Green Building Material Exterior Paving Use Plastic Skirted Wood Decking,6611.0,SQUARE METERS,37.07865168539326,245126.96629213484,150kg/M3 Insulation Board Rockwool with 80% Basalt,41,TONS,943.1959440942724,38671.033707865165,,,,,,,,,,,,,,,,,EURO,19/01/2019
G-BBY-0032,,,FLUIDMASTER PREDELAVA PLASTIKE D.O.O.,SLOVENIA,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Origin: SLOVENIA,Loading: SLOVENIA,Discharge: Tianjin- China,14520,Fourteen Thousand Five Hundred Twenty Euros only,Facadeآ Buildingآ Decorativeآ Materialآ ACP/Mcp/A2 Fr Aluminum Composite Panel,414.0,SQUARE METERS,35.072463768115945,14520.0,,,,,,,,,,,,,,,,,,,,,,EURO,5/1/2019
G-BBY-0019,GALAXY SUN TELECOM LLC    ,"DUBAI, UAE",Refarmed Chemicals Switzerland,Lugano- Switzerland,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Origin:  Switzerland,Loading: Lugano- Switzerland,Discharge: Tianjin- China,294895,Two Hundred Ninety Four Thousand Eight Hundred Ninety Five Dirhams only,Fabrication Painted/Galvanized Steel,11795.0,SQUARE METERS,25.00169563374311,294895.0,,,,,,,,,,,,,,,,,,,,,,AED,21/01/2019
G-BBY-0036,,,GIOELLI DI MENICHELLI FRANCO AND C SRL  ,ITALY,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Origin: ITALY,Loading: ITALY,Discharge: Tianjin- China,115000,One Hundred Fifteen Thousand Euros only,Sc200/200 Construction Lift/Construction Material Lift/Passenger Hoist for Building,4.0,PCS,28750.0,115000.0,,,,,,,,,,,,,,,,,,,,,,EURO,5/1/2019
G-BBY-0115,GULF LINE INTERNATIONAL TRADING COMPANY LLC,"DUBAI, UAE",Refarmed Chemicals Switzerland,Lugano- Switzerland,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Origin:  Switzerland,Loading: Lugano- Switzerland,Discharge: Tianjin- China,8535,Eight Thousand Five Hundred Thirty Five Euros only,Hollow Stone Pillar Granite Roman Column,11.0,PCS,775.9090909090909,8535.0,,,,,,,,,,,,,,,,,,,,,,EURO,24/01/2019
G-BBY-0008,HABIB MUHAMMAD SIDDIQUE FOOD AND BEVERAGE LLC,"DUBAI, UAE",Refarmed Chemicals Switzerland,Lugano- Switzerland,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Origin:  Switzerland,Loading: Lugano- Switzerland,Discharge: Tianjin- China,136235,One Hundred Thirty Six Thousand Two Hundred Thirty Five Dirhams only,Waterproof Decorative Wood Plastic Composite Wall Panel (W2-P2),6811.0,SQUARE METERS,20.00220231977683,136235.0,,,,,,,,,,,,,,,,,,,,,,AED,15/01/2019
G-BBY-0009,HABIB MUHAMMAD SIDDIQUE FOOD AND BEVERAGE LLC,"DUBAI, UAE",Refarmed Chemicals Switzerland,Lugano- Switzerland,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Origin:  Switzerland,Loading: Lugano- Switzerland,Discharge: Tianjin- China,280217,Two Hundred Eighty Thousand Two Hundred Seventeen Dirhams only,Color Coated Corrugated Galvanized Steel Sheet,389.0,TONS,720.3521850899743,280217.0,,,,,,,,,,,,,,,,,,,,,,AED,15/01/2019
G-BBY-0124,,,HK HUA CHENG ELECTRONICS CO.- LTD      ,CHINA,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Origin: CHINA,Loading: CHINA,Discharge: Tianjin- China,22689,Twenty Two Thousand Six Hundred Eighty Nine Euros only,201 304 316 Stainless Steel Plate,34.0,TONS,667.3235294117648,22689.0,,,,,,,,,,,,,,,,,,,,,,EURO,26/01/2019
G-BBY-0044,,,ITAL PHARCHEM S.R.L ,ITALY,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Origin: ITALY,Loading: ITALY,Discharge: Tianjin- China,5488,Five Thousand Four Hundred Eighty Eight Euros only,Ringlock Scaffold Base Collar/Starter O-Type HDG Building Material,548.0,PCS,10.014598540145986,5488.0,,,,,,,,,,,,,,,,,,,,,,EURO,6/1/2019
G-BBY-0121,,,JOINT RESOURCES TECHNOLOGY DEVELOPMENT LTD,"HONGKONG, CHINA",Tianjin Kaigui Machinery Co.LTD,Tianjin- China,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,"Origin: HONGKONG, CHINA","Loading: HONGKONG, CHINA",Discharge: Tianjin- China,37226,Thirty Seven Thousand Two Hundred Twenty Six Euros only,Black/Brown Film Faced Plywood WBP Glue,112.0,CBS,332.375,37226.0,,,,,,,,,,,,,,,,,,,,,,EURO,26/01/2019
G-BBY-0095,,,KAIDA HOLDING LIMITED,CHINA,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Origin: CHINA,Loading: CHINA,Discharge: Tianjin- China,35303,Thirty Five Thousand Three Hundred Three Euros only,A36 Carbon Checkered Floor Steel Plate/Ms Checkered Plate,50.0,TONS,706.06,35303.0,,,,,,,,,,,,,,,,,,,,,,EURO,21/01/2019
G-BBY-0020,KARJI GENERAL TRADING ESTABLISHMENT,"DUBAI, UAE",Refarmed Chemicals Switzerland,Lugano- Switzerland,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Origin:  Switzerland,Loading: Lugano- Switzerland,Discharge: Tianjin- China,682287,Six Hundred Eighty Two Thousand Two Hundred Eighty Seven Dirhams only,Countertop Material Engineered Artificial Crystal Quartz Stone Slab,9073.0,PCS,12.806539509536785,116193.73297002725,25mm White Color Marble Honeycomb Panel,9434,SQUARE METERS,60.00564628259198,566093.2670299727,,,,,,,,,,,,,,,,,AED,21/01/2019
G-BBY-0037,,,KLADEX LIMITED         ,UNITED KINGDOM,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Origin: UNITED KINGDOM,Loading: UNITED KINGDOM,Discharge: Tianjin- China,277500,Two Hundred Seventy Seven Thousand Five Hundred Euros only,0.15*665mm Ral3009 PPGI Corrugated Prepainted Steel Roofing Sheet,332.0,TONS,921.3483146067416,305887.6404494382,Hollow Stone Pillar Granite Roman Column,-37,PCS,767.2335256604915,-28387.640449438186,,,,,,,,,,,,,,,,,EURO,6/1/2019
G-BBY-0004,KMG ROBUST COMMODITY DMCC,"DUBAI, UAE",Refarmed Chemicals Switzerland,Lugano- Switzerland,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Origin:  Switzerland,Loading: Lugano- Switzerland,Discharge: Tianjin- China,1739653,One Million Seven Hundred Thirty Nine Thousand Six Hundred Fifty Three Dirhams only,Welded Prefabricated Building with Steel Frame,21227.0,M3,20.435967302452315,433794.2779291553,Hot sale 1220*2440*13mm building material film faced plywood,1314.0,CBM,136.23978201634878,179019.0735694823,Solid Surface / Building Material Artificial Quartz Stone with SGS,27868,PCS,PCS,1126839.6485013624,,,,,,,,,,,,AED,6/1/2019
G-BBY-0088,,,LONG SHUN ENTERPRISE CO LIMITED,"HONGKONG, CHINA",Tianjin Kaigui Machinery Co.LTD,Tianjin- China,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,"Origin: HONGKONG, CHINA","Loading: HONGKONG, CHINA",Discharge: Tianjin- China,225456,Two Hundred Twenty Five Thousand Four Hundred Fifty Six Euros only,201 304 316 Stainless Steel Plate,226.0,TONS,730.3370786516854,165056.1797752809,Wrinkle PPGI,80,TONS,754.9977528089887,60399.82022471909,,,,,,,,,,,,,,,,,EURO,19/01/2019
G-BBY-0092,,,LONG SHUN ENTERPRISE CO LIMITED,"HONGKONG, CHINA",Tianjin Kaigui Machinery Co.LTD,Tianjin- China,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,"Origin: HONGKONG, CHINA","Loading: HONGKONG, CHINA",Discharge: Tianjin- China,200124,Two Hundred Thousand One Hundred Twenty Four Euros only,Precast Concrete Lifting Socket/Lifting Insert/Fixing Insert/Lifting Clutch,5717.0,PCS,35.005072590519504,200124.0,,,,,,,,,,,,,,,,,,,,,,EURO,20/01/2019
G-BBY-0102,,,LONG SHUN ENTERPRISE CO LIMITED,"HONGKONG, CHINA",Tianjin Kaigui Machinery Co.LTD,Tianjin- China,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,"Origin: HONGKONG, CHINA","Loading: HONGKONG, CHINA",Discharge: Tianjin- China,220460,Two Hundred Twenty Thousand Four Hundred Sixty Euros only,Popular Floor Deck Building Material Tile Making Machinery,3.0,SETS,31460.67415730337,94382.02247191011,ANSI Certifiedآ Buildingآ Material/Constructionآ High Quality Fire Retardant Safety Netting (CSSN),2424,PCS,52.012366967033785,126077.97752808989,,,,,,,,,,,,,,,,,EURO,21/01/2019
G-BBY-0104,,,LONG SHUN ENTERPRISE CO LIMITED,"HONGKONG, CHINA",Tianjin Kaigui Machinery Co.LTD,Tianjin- China,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,"Origin: HONGKONG, CHINA","Loading: HONGKONG, CHINA",Discharge: Tianjin- China,325444,Three Hundred Twenty Five Thousand Four Hundred Forty Four Euros only,Powder Coating Aluminium Extrusion Profiles Sliding Window,99.0,TONS,3370.7865168539324,333707.8651685393,Deformed Steel Bar HRB335 HRB400 HRB500 Steel Rebar Rod Reinforcement Bar,-13,TONS,635.6819360414834,-8263.865168539283,,,,,,,,,,,,,,,,,EURO,23/01/2019
G-BBY-0138,,,LONG SHUN ENTERPRISE CO LIMITED,"HONGKONG, CHINA",Tianjin Kaigui Machinery Co.LTD,Tianjin- China,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,"Origin: HONGKONG, CHINA","Loading: HONGKONG, CHINA",Discharge: Tianjin- China,250300,Two Hundred Fifty Thousand Three Hundred Euros only,Hot Rolled U Shaped Steel Sheet Pile,270.0,TONS,842.6966292134831,227528.08988764044,Artificial Quartz STONSe forآ Buildingآ Materialآ with SGS Report & Ce Certificate (Calacatta),189,SQUARE METERS,120.48629689079132,22771.91011235956,,,,,,,,,,,,,,,,,EURO,30/01/2019
G-BBY-0139,,,MATTEO INTERNATIONAL TRADE CO LTD,"HONGKONG, CHINA",Tianjin Kaigui Machinery Co.LTD,Tianjin- China,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,"Origin: HONGKONG, CHINA","Loading: HONGKONG, CHINA",Discharge: Tianjin- China,211125,Two Hundred Eleven Thousand One Hundred Twenty Five Euros only,Ideabond Building Material Pre-Painted Aluminium Strip,49.0,TONS,4308.673469387755,211125.0,,,,,,,,,,,,,,,,,,,,,,EURO,30/01/2019
G-BBY-0022,MEDIST FZE  ,"DUBAI, UAE",Refarmed Chemicals Switzerland,Lugano- Switzerland,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Origin:  Switzerland,Loading: Lugano- Switzerland,Discharge: Tianjin- China,330428,Three Hundred Thirty Thousand Four Hundred Twenty Eight Dirhams only,T3-T8 Aluminium Extrusion and Profile,118.0,TONS,2800.237288135593,330428.0,,,,,,,,,,,,,,,,,,,,,,AED,21/01/2019
G-BBY-0136,,,MERIBEL TRADE CO LIMITED,"HONGKONG, CHINA",Tianjin Kaigui Machinery Co.LTD,Tianjin- China,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,"Origin: HONGKONG, CHINA","Loading: HONGKONG, CHINA",Discharge: Tianjin- China,274321,Two Hundred Seventy Four Thousand Three Hundred Twenty One Euros only,Hot sale 1220*2440*13mm building material film faced plywood,488.0,CBM,561.7977528089888,274157.30337078654,House Gate Interior Wooden Doors,0,PCS,inf,163.69662921346026,,,,,,,,,,,,,,,,,EURO,29/01/2019
G-BBY-0039,,,MGK CHEM INDUSTRY COMPANY LIMITED,USA,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Origin: USA,Loading: USA,Discharge: Tianjin- China,37252,Thirty Seven Thousand Two Hundred Fifty Two Euros only,Acoustic Formaldehyde,2483.0,SQUARE METERS,15.002819170358437,37252.0,,,,,,,,,,,,,,,,,,,,,,EURO,6/1/2019
G-BBY-0069,,,MINDA KOTA SDN BHD  ,MALAYSIA,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Origin: MALAYSIA,Loading: MALAYSIA,Discharge: Tianjin- China,28667,Twenty Eight Thousand Six Hundred Sixty Seven Euros only,80X40X2.0mm-380X110X4.0mm C Channel C Purlin,44.0,TONS,651.5227272727273,28667.0,,,,,,,,,,,,,,,,,,,,,,EURO,12/1/2019
G-BBY-0011,MOHAMED RUYAN MEDICAL EQUIPMENT TRADING,"DUBAI, UAE",Refarmed Chemicals Switzerland,Lugano- Switzerland,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Origin:  Switzerland,Loading: Lugano- Switzerland,Discharge: Tianjin- China,247314,Two Hundred Forty Seven Thousand Three Hundred Fourteen Dirhams only,Big Size Luxury Full Body Marble Floor Tile,6182.0,SQUARE METERS,40.00549983824005,247314.0,,,,,,,,,,,,,,,,,,,,,,AED,19/01/2019
G-BBY-0085,,,NAHAR TRADING INTERNATIONAL,BANGALADESH,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Origin: BANGALADESH,Loading: BANGALADESH,Discharge: Tianjin- China,13000,Thirteen Thousand Euros only,Aluminium Profile,5.0,TONS,2600.0,13000.0,,,,,,,,,,,,,,,,,,,,,,EURO,15/01/2019
G-BBY-0080,,,NINGBO YOUNGOR INTERNATIONAL TRADE & TRANSPORTATION CO.- LTD.,CHINA,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Origin: CHINA,Loading: CHINA,Discharge: Tianjin- China,63480,Sixty Three Thousand Four Hundred Eighty Euros only,Construction Building Passenger Hoist,1.0,PCS,63480.0,63480.0,,,,,,,,,,,,,,,,,,,,,,EURO,14/01/2019
G-BBY-0076,,,PAS PRIMARY AUTOMOTIVE SUPPORT GMBH,GERMANY,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Origin: GERMANY,Loading: GERMANY,Discharge: Tianjin- China,347985,Three Hundred Forty Seven Thousand Nine Hundred Eighty Five Euros only,CNC Machining Parts Aluminum Profile Extrusion,1245.0,PCS,112.35955056179775,139887.6404494382,PVDF 3003h24 Aluminium Coated Wooden Prepainted Aluminum Alloy Sheet,52,TONS,4001.8722990492656,208097.3595505618,,,,,,,,,,,,,,,,,EURO,14/01/2019
G-BBY-0087,,,PAS PRIMARY AUTOMOTIVE SUPPORT GMBH,GERMANY,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Origin: GERMANY,Loading: GERMANY,Discharge: Tianjin- China,347985,Three Hundred Forty Seven Thousand Nine Hundred Eighty Five Euros only,Quality Industrial Aluminum Extrusion Profiles,73.0,TONS,2842.696629213483,207516.85393258426,Building Glass Aluminium Curtain Wall Material,50,TONS,2809.362921348315,140468.14606741574,,,,,,,,,,,,,,,,,EURO,19/01/2019
G-BBY-0059,,,PEYER GRAPHIZ AG,SWITZERLAND,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Origin: SWITZERLAND,Loading: SWITZERLAND,Discharge: Tianjin- China,63912,Sixty Three Thousand Nine Hundred Twelve Euros only,3003h24 Flat Aluminum Sheet Metalآ Buildingآ Construction Material,939.0,SQUARE METERS,68.06389776357827,63912.0,,,,,,,,,,,,,,,,,,,,,,EURO,8/1/2019
G-BBY-0058,,,PHOENIX HANDELS- UND DEVELOPMENT-GMBH,GERMANY,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Origin: GERMANY,Loading: GERMANY,Discharge: Tianjin- China,41905,Forty One Thousand Nine Hundred Five Euros only,Poplar Film Faced Plywood/Marine Plywood,2095.0,PCS,20.002386634844868,41905.0,,,,,,,,,,,,,,,,,,,,,,EURO,8/1/2019
G-BBY-0100,,,PHOENIX RUBBER PRODUCT CO : LTD        ,THAILAND,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Origin: THAILAND,Loading: THAILAND,Discharge: Tianjin- China,12927,Twelve Thousand Nine Hundred Twenty Seven Euros only,T Lintel  Hot Dipped Galvanize  Z500G/M2,12.0,TONS,1077.25,12927.0,,,,,,,,,,,,,,,,,,,,,,EURO,21/01/2019
G-BBY-0063,,,PIONIER BIOINSTRUMENTE GMBH    ,AUSTRIA,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Origin: AUSTRIA,Loading: AUSTRIA,Discharge: Tianjin- China,5000,Five Thousand Euros only,Decorative Building Material Stone Aluminum Honeycomb Panel,55.0,SQUARE METERS,90.9090909090909,5000.0,,,,,,,,,,,,,,,,,,,,,,EURO,10/1/2019
G-BBY-0101,,,QINGDAO DOUBLESTAR TIRE INDUSTRIAL CO.-,CHINA,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Origin: CHINA,Loading: CHINA,Discharge: Tianjin- China,162554,One Hundred Sixty Two Thousand Five Hundred Fifty Four Euros only,Fabricated Building Material PU Sandwich Panel Building Steel & Structure,3333.0,SQUARE METERS,44.9438202247191,149797.75280898876,Aluminium Sliding Door Security Doors with Double Glazing,127,SQUARE METERS,100.44289126780501,12756.247191011236,,,,,,,,,,,,,,,,,EURO,21/01/2019
G-BBY-0118,,,RAXLAB E.K,GERMANY,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Origin: GERMANY,Loading: GERMANY,Discharge: Tianjin- China,39930,Thirty Nine Thousand Nine Hundred Thirty Euros only,ZCP Vmzinc Titanium-Zinc Composite Panel,570.0,SQUARE METERS,70.05263157894737,39930.0,,,,,,,,,,,,,,,,,,,,,,EURO,26/01/2019
G-BBY-0061,,,RKB EUROPE SA      ,SWITZERLAND,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Origin: SWITZERLAND,Loading: SWITZERLAND,Discharge: Tianjin- China,3132,Three Thousand One Hundred Thirty Two Euros only,House Gate Interior Wooden Doors,15.0,PCS,208.8,3132.0,,,,,,,,,,,,,,,,,,,,,,EURO,10/1/2019
G-BBY-0042,,,RMT VALVOMECCANICA SRL ,ITALY,Tianjin Kaigui Machinery Co.LTD,Tianjin- China,BEYLERBEYI GENERAL TRADING LLC,Dubi-UAE,Origin: ITALY,Loading: ITALY,Discharge: Tianjin- China,95000,Ninety Five Thousand Euros only,Big Size Ultra Thin Marble Look Porcelain Ceramic Floor Tile,1357.0,SQUARE METERS,70.00736919675755,95000.0,,,,,,,,,,,,,,,,,,,,,,EURO,6/1/2019
